"ID"	"adj.P.Val"	"P.Value"	"t"	"B"	"logFC"	"Gene.symbol"	"Gene.title"
"GABRA5"	0.1614949131001	0.00112821454016481	3.30373192756689	-1.31030485596237	0.0706560462483781	"GABRA5"	"GABRA5"
"PKNOX1"	0.1614949131001	0.00113364649435512	3.30231167295573	-1.31468163865504	0.0167467438175058	"PKNOX1"	"PKNOX1"
"RAB5C"	0.1614949131001	0.00113735354111953	-3.30134605156021	-1.31765642080425	-0.0759725072429994	"RAB5C"	"RAB5C"
"CLCA1"	0.1614949131001	0.0011423640168765	-3.30004555692035	-1.32166161296363	-0.0534888632535893	"CLCA1"	"CLCA1"
"MDH1"	0.167269575259873	0.00119729801238646	-3.286125303896	-1.36444387353787	-0.0738943913169439	"MDH1"	"MDH1"
"LMBRD1"	0.167727100086001	0.00121469731430704	-3.28184016897847	-1.37758109875752	-0.0636287467730636	"LMBRD1"	"LMBRD1"
"VEGFC"	0.171698363298898	0.00125791643006351	-3.27143829783946	-1.40940684678853	-0.0468732197688714	"VEGFC"	"VEGFC"
"DACH1"	0.183722735812188	0.00136148216854506	3.24780502255165	-1.48137842704202	0.0362689742813032	"DACH1"	"DACH1"
"CCDC6"	0.184284448543391	0.0013835755455436	3.24298043131721	-1.49601336228755	0.0849508432113199	"CCDC6"	"CCDC6"
"BEX4"	0.184284448543391	0.00139668213632886	-3.24015202679047	-1.50458396138732	-0.0701276889150937	"BEX4"	"BEX4"
"DUSP1"	0.185896679701832	0.00142455560866246	-3.23421799606179	-1.52254333624222	-0.135238580548082	"DUSP1"	"DUSP1"
"SLC29A1"	0.190348947491461	0.00151901843897722	3.21487950274844	-1.58086575673608	0.048466740655246	"SLC29A1"	"SLC29A1"
"MYT1L"	0.190348947491461	0.00151977599880378	-3.2147289768067	-1.58131848841058	-0.0838939035604378	"MYT1L"	"MYT1L"
