gene_id,old_1,old_2,young_1,young_2
ENSG00000235926.1|RPS29P15,1,0,0,0
ENSG00000231525.1|AC002486.2,0,0,6,0
ENSG00000279403.1|AL078595.3,0,0,2,0
ENSG00000153827.13|TRIP12,7713,4277,3195,3406
ENSG00000270193.1|AC009237.12,0,0,1,1
ENSG00000224543.4|SNRPGP15,18,13,5,7
ENSG00000286185.1|AC242842.3,9,73,118,34
ENSG00000121895.8|TMEM156,0,0,21,13
ENSG00000268475.1|AC011462.2,0,0,0,0
ENSG00000207329.1|RF00019,0,0,0,0
ENSG00000234219.1|CDCA4P4,19,0,13,6
ENSG00000276598.1|MIR6893,0,1,0,0
ENSG00000254937.1|AP000916.1,0,2,0,0
ENSG00000266976.3|AC079466.1,0,0,23,3
ENSG00000254740.2|AP003396.3,1,0,0,0
ENSG00000125089.17|SH3TC1,188,149,100,82
ENSG00000186810.8|CXCR3,5,13,0,7
ENSG00000158352.15|SHROOM4,595,637,864,284
ENSG00000253119.1|HNRNPA3P7,6,2,2,1
ENSG00000270509.1|AL713998.2,0,0,0,0
ENSG00000196843.16|ARID5A,272,196,155,184
ENSG00000228413.1|AC024937.1,0,0,2,0
ENSG00000207931.1|MIR577,1,1,3,1
ENSG00000150281.6|CTF1,20,51,27,20
ENSG00000280431.1|AL160394.1,1,8,0,0
ENSG00000207375.1|SNORD116-23,1726,540,181,729
ENSG00000267284.2|AC022031.2,2,3,6,5
ENSG00000185504.17|FAAP100,387,362,309,182
ENSG00000041515.16|MYO16,545,418,382,361
ENSG00000252712.1|SCARNA14,3,2,2,3
ENSG00000278367.1|AL356652.1,0,0,0,0
ENSG00000109471.4|IL2,0,0,0,0
ENSG00000237992.3|LINC01808,0,0,13,0
ENSG00000255628.1|AC140847.1,0,0,0,0
ENSG00000266570.1|MIR5579,3,0,4,2
ENSG00000283740.1|TAF11L11,23,5,0,0
ENSG00000222783.1|RN7SKP212,0,0,0,0
ENSG00000254816.1|AC090857.1,8,5,14,3
ENSG00000238813.1|RF00019,3,2,2,1
ENSG00000218766.1|AL450338.1,0,0,1,0
ENSG00000201942.1|RNA5SP363,0,0,3,2
ENSG00000134755.16|DSC2,57,78,65,74
ENSG00000230157.1|ATP5MC1P1,2,0,1,1
ENSG00000229007.1|EXOSC3P1,12,35,8,3
ENSG00000242703.1|CCT4P1,0,0,12,0
ENSG00000100307.13|CBX7,6926,4269,3069,2827
ENSG00000200013.1|RNU6-623P,1,0,0,0
ENSG00000186244.7|AC091180.1,1,0,0,0
ENSG00000254798.1|TFAMP2,0,0,0,0
ENSG00000226226.1|PRELID3BP1,0,0,0,0
ENSG00000145839.1|IL9,0,0,0,0
ENSG00000236909.1|OR2P1P,0,0,0,0
ENSG00000165288.10|BRWD3,1837,762,629,760
ENSG00000138231.12|DBR1,162,145,125,106
ENSG00000224016.2|AC092681.1,36,42,18,22
ENSG00000130749.10|AC008755.1,2443,1693,1314,1083
ENSG00000112297.15|CRYBG1,170,73,105,59
ENSG00000161609.10|CCDC155,0,0,0,0
ENSG00000132840.10|BHMT2,80,94,71,57
ENSG00000259922.1|AC023825.1,0,0,0,14
ENSG00000173762.8|CD7,9,0,16,0
ENSG00000231784.8|DBIL5P,92,45,13,7
ENSG00000278130.1|AL591424.3,0,0,0,0
ENSG00000228592.2|AP000459.2,0,0,13,0
ENSG00000266578.2|AP001025.1,37,0,0,0
ENSG00000235593.1|RBMS3-AS1,2,0,1,0
ENSG00000212342.1|RF00586,8,0,8,3
ENSG00000239920.2|AC104389.4,33,31,33,26
ENSG00000254463.1|PPIAP41,31,3,24,16
ENSG00000223956.3|LINC01767,0,4,7,0
ENSG00000228489.1|RPL21P50,0,0,0,0
ENSG00000244730.1|AC139451.1,19,17,8,4
ENSG00000236507.2|BX470209.2,0,0,0,0
ENSG00000168237.18|GLYCTK,138,155,113,94
ENSG00000186075.12|ZPBP2,0,0,0,0
ENSG00000238228.1|OR7E7P,31,33,17,20
ENSG00000253699.1|AC084128.1,0,0,0,0
ENSG00000255313.2|AC100858.2,0,0,0,0
ENSG00000269792.1|AC011500.3,0,0,0,0
ENSG00000249497.1|LINC02075,14,0,8,0
ENSG00000202081.1|RNU6-1280P,0,0,0,0
ENSG00000226213.1|UBQLN4P2,0,0,0,0
ENSG00000204348.10|DXO,350,138,150,152
ENSG00000267324.1|AC006557.2,0,0,0,0
ENSG00000286102.1|AP000552.3,16,3,4,3
ENSG00000069956.12|MAPK6,2109,1399,911,1187
ENSG00000187266.14|EPOR,167,77,92,87
ENSG00000279570.1|AC099804.1,17,14,4,4
ENSG00000205609.12|EIF3CL,7289,3661,2545,1843
ENSG00000158747.14|NBL1,3509,2239,1990,1796
ENSG00000183475.12|ASB7,489,210,231,262
ENSG00000231691.2|AL592114.3,47,25,43,50
ENSG00000213669.2|AL137074.1,0,11,0,0
ENSG00000224590.1|MTND3P16,0,0,0,0
ENSG00000286727.1|AC123786.3,4,0,6,0
ENSG00000286533.1|AL078604.4,0,0,6,0
ENSG00000218048.2|AL121949.1,0,0,0,0
ENSG00000272170.1|AL355385.1,2,1,2,3
ENSG00000225678.2|AP000619.1,0,0,0,0
ENSG00000261818.1|AC092138.2,0,0,0,0
ENSG00000207698.1|MIR32,7,0,0,1
ENSG00000207364.1|RNU6-939P,0,0,0,0
ENSG00000284147.1|MIR3150B,1,0,1,0
ENSG00000231720.1|AL353747.3,0,0,0,0
ENSG00000248517.1|LINC02437,7,0,0,0
ENSG00000266396.1|MIR4273,0,0,0,0
ENSG00000271423.1|CYCSP1,0,0,1,0
ENSG00000241105.1|AC022730.1,0,0,0,0
ENSG00000109062.12|SLC9A3R1,1604,1077,1209,651
ENSG00000244462.8|RBM12,2666,1153,812,788
ENSG00000260776.5|AC104758.3,34,33,24,17
ENSG00000179562.3|GCC1,612,296,307,259
ENSG00000275389.1|AC068790.9,44,43,36,17
ENSG00000267169.2|AC022098.1,237,211,122,94
ENSG00000230268.3|SSU72P8,0,0,0,1
ENSG00000204007.6|GLT6D1,0,0,0,0
ENSG00000278929.1|AP001784.1,0,1,0,1
ENSG00000286709.1|AL138997.1,0,0,0,0
ENSG00000100557.9|CCDC198,0,0,6,0
ENSG00000251862.2|MIR1343,4,2,6,1
ENSG00000234921.1|AC006450.2,5,6,0,0
ENSG00000229182.3|MRPS16P1,0,0,0,0
ENSG00000201129.1|SNORA58B,289,82,64,319
ENSG00000272361.2|AC005014.2,17,12,2,10
ENSG00000286771.1|AC097658.3,73,122,65,26
ENSG00000170043.11|TRAPPC1,931,475,487,493
ENSG00000252103.1|RNU6-917P,0,0,1,0
ENSG00000130702.15|LAMA5,1588,998,557,665
ENSG00000254423.1|AC087203.1,0,45,60,28
ENSG00000253448.1|IGLV3-6,7,0,0,0
